id,name,icao,iata,base,handler,taxi_in_minutes,taxi_out_minutes,callsign_parameters,aircraft_types,load_factor,containers,delete
,London Luton Airport,EGGW,LTN,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Glasgow International Airport,EGPF,GLA,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Edinburgh Airport,EGPH,EDI,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,London Stansted Airport,EGSS,STN,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Eindhoven Airport,EHEH,EIN,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Amsterdam Airport Schiphol,EHAM,AMS,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Billund Airport,EKBI,BLL,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Dublin Airport,EIDW,DUB,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Copenhagen Kastrup Airport,EKCH,CPH,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Shannon Airport,EINN,SNN,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
